feature,gain,horizon,gain_percentage,rank
ph_lag_3h,31.13896369934082,12h,0.3254999935289177,96
ph_lag_1h,30.883026123046875,12h,0.32282464183025955,97
sp_conductance_rolling_std_24h,30.742319107055664,12h,0.32135381148289055,98
ph_lag_24h,29.768953323364258,12h,0.3111790812204467,99
water_temperature_rolling_max_12h,29.608171463012695,12h,0.3094984056845068,100
f201,29.563949584960938,12h,0.3090361481360969,101
ph_lag_6h,29.384170532226562,12h,0.30715689226018883,102
sp_conductance_rolling_std_6h,29.33787727355957,12h,0.30667298227711975,103
ph_change_12h,28.86616325378418,12h,0.3017420888836559,104
ph_rolling_mean_12h,28.279951095581055,12h,0.2956143302483957,105
ph_change_6h,27.402599334716797,12h,0.28644324815198197,106
sp_conductance,26.77157211303711,12h,0.27984703131713407,107
water_temperature_lag_24h,26.64962387084961,12h,0.27857228908659115,108
water_temperature_lag_1h,26.60213851928711,12h,0.2780759179878111,109
sp_conductance_rolling_max_24h,26.282360076904297,12h,0.27473322868282,110
ph_rolling_max_6h,26.07685089111328,12h,0.2725850120854088,111
turbidity_ratio_1h,25.703060150146484,12h,0.26867772458089767,112
do_saturation_change_6h,25.37139320373535,12h,0.2652107630611453,113
do_saturation_rolling_std_12h,25.137638092041016,12h,0.2627672878036348,114
do_saturation_change_12h,24.951942443847656,12h,0.26082618491823056,115
do_concentration_lag_24h,23.522504806518555,12h,0.24588407103823454,116
turbidity_lag_3h,23.22466468811035,12h,0.24277070613789348,117
high_turbidity,22.1608829498291,12h,0.2316508451087977,118
water_temperature_lag_12h,21.995342254638672,12h,0.22992042479894012,119
do_concentration_change_3h,21.862930297851562,12h,0.22853630387913354,120
do_concentration_change_6h,21.50262451171875,12h,0.22476997651554356,121
water_temperature_rolling_mean_12h,20.946426391601562,12h,0.218955958867205,122
day_of_week,20.681930541992188,12h,0.2161911463266355,123
month_sin,20.294919967651367,12h,0.21214567003333717,124
do_concentration_rolling_mean_6h,20.25933074951172,12h,0.21177365090045897,125
water_temperature,19.140058517456055,12h,0.2000737398883617,126
do_concentration_lag_3h,19.13213348388672,12h,0.1999908983911159,127
do_concentration_rolling_std_6h,16.762258529663086,12h,0.17521826017128758,128
do_concentration,16.55448341369629,12h,0.1730463574851332,129
do_concentration_change_12h,16.299320220947266,12h,0.1703791005272408,130
f197,15.646930694580078,12h,0.16355958049885438,131
turbidity_change_1h,15.20138168334961,12h,0.158902193641905,132
hour_cos,14.840136528015137,12h,0.15512604691913487,133
do_saturation_rolling_std_6h,13.542627334594727,12h,0.14156299973041309,134
f180,13.405951499938965,12h,0.1401343078919319,135
turbidity_lag_6h,12.381535530090332,12h,0.12942594281028633,136
hour,10.274918556213379,12h,0.10740517750847342,137
hour_sin,9.162591934204102,12h,0.09577786994095386,138
f155,4.820494174957275,12h,0.05038930768232323,139
f220,4.5737714767456055,12h,0.04781028040811,140
f174,4.360905647277832,12h,0.04558516377342396,141
turbidity_change_24h,1099.49462890625,24h,9.3434043148941,1
f128,413.1904296875,24h,3.5112543000374354,2
f148,345.190673828125,24h,2.933398623798017,3
f150,276.40875244140625,24h,2.3488961767868166,4
month_sin,264.81170654296875,24h,2.2503455464892625,5
f218,236.3284454345703,24h,2.008297411149843,6
f137,229.7236328125,24h,1.9521703204577239,7
month_cos,229.4709930419922,24h,1.9500234109050825,8
sp_conductance_change_3h,222.4420623779297,24h,1.8902922040677888,9
sp_conductance_change_24h,203.13706970214844,24h,1.7262401504026197,10
f149,199.00851440429688,24h,1.6911560668881793,11
f191,198.57626342773438,24h,1.6874828378124276,12
f219,191.06710815429688,24h,1.623670726376431,13
turbidity,186.93508911132812,24h,1.5885572082742967,14
turbidity_rolling_mean_24h,153.3057403564453,24h,1.3027780930311221,15
do_saturation_lag_12h,150.82891845703125,24h,1.281730288145317,16
sp_conductance_rolling_max_6h,150.59584045410156,24h,1.2797496126958638,17
sp_conductance_change_6h,145.4339141845703,24h,1.2358840376289975,18
do_saturation_rolling_mean_6h,138.2276153564453,24h,1.1746455724333111,19
f147,131.50425720214844,24h,1.117511092702449,20
turbidity_change_6h,126.48583221435547,24h,1.0748649783402886,21
water_temperature_rolling_max_24h,125.87171936035156,24h,1.0696463037428148,22
ph_change_24h,123.9116439819336,24h,1.0529897633043714,23
do_saturation_rolling_max_24h,112.14266967773438,24h,0.9529781012145615,24
turbidity_lag_1h,111.20796966552734,24h,0.9450351064080527,25
f197,110.07806396484375,24h,0.9354332715999167,26
ph_rolling_mean_24h,109.84552001953125,24h,0.9334571345230155,27
day_of_year,103.99436950683594,24h,0.8837345951761921,28
do_saturation_lag_1h,102.91883087158203,24h,0.8745947666938434,29
f126,102.36163330078125,24h,0.869859752942619,30
sp_conductance_lag_1h,96.54141998291016,24h,0.8204001150343398,31
