feature,gain,horizon,gain_percentage,rank
do_concentration_rolling_max_12h,38.29983139038086,24h,0.3254684474708004,99
do_saturation_rolling_std_24h,37.51624298095703,24h,0.31880958517786245,100
do_saturation_rolling_max_6h,37.18929672241211,24h,0.3160312259185126,101
f176,35.85694885253906,24h,0.3047090561606709,102
sp_conductance_rolling_std_12h,34.302940368652344,24h,0.2915032348751471,103
water_temperature_change_12h,34.25291061401367,24h,0.2910780866178709,104
do_concentration_rolling_std_12h,33.275909423828125,24h,0.2827756202883017,105
hour_cos,32.86125183105469,24h,0.27925189817118956,106
ph_lag_1h,32.6287727355957,24h,0.277276312182384,107
ph_lag_12h,31.853721618652344,24h,0.2706899990163835,108
turbidity_rolling_std_6h,31.645198822021484,24h,0.2689179914534792,109
ph,31.091266632080078,24h,0.2642107266087152,110
water_temperature_lag_24h,31.060150146484375,24h,0.26394630157367116,111
water_temperature_lag_1h,30.673358917236328,24h,0.26065938525292986,112
do_concentration_rolling_mean_12h,30.37040901184082,24h,0.2580849447974226,113
do_concentration_lag_24h,30.035564422607422,24h,0.25523946624972427,114
water_temperature_rolling_mean_12h,29.756263732910156,24h,0.2528659946559009,115
ph_rolling_std_6h,29.637895584106445,24h,0.25186011300518396,116
high_turbidity,28.224056243896484,24h,0.23984543622133664,117
do_concentration_rolling_max_6h,28.08730697631836,24h,0.23868335351246603,118
do_saturation_rolling_std_12h,28.043487548828125,24h,0.23831098004457948,119
ph_lag_6h,27.638580322265625,24h,0.23487011564348703,120
water_temperature_lag_6h,27.544269561767578,24h,0.2340686714677615,121
do_concentration_lag_6h,27.53318977355957,24h,0.2339745164457822,122
do_saturation_lag_6h,27.480445861816406,24h,0.2335263035308581,123
do_concentration_rolling_mean_6h,26.51749038696289,24h,0.2253431963994049,124
water_temperature,26.406780242919922,24h,0.2244023917693881,125
ph_rolling_mean_6h,24.534658432006836,24h,0.20849327266482884,126
do_saturation_change_6h,24.030866622924805,24h,0.2042120961687982,127
f194,23.319557189941406,24h,0.19816745397534496,128
turbidity_lag_6h,22.081790924072266,24h,0.18764902999645144,129
do_concentration_rolling_std_6h,21.48118019104004,24h,0.18254509518217463,130
do_concentration_lag_12h,20.72415542602539,24h,0.17611196829827544,131
water_temperature_lag_12h,20.634695053100586,24h,0.17535174227040556,132
do_concentration_change_6h,20.586002349853516,24h,0.17493795615298258,133
f174,19.88154411315918,24h,0.16895153479598132,134
do_concentration,19.127487182617188,24h,0.1625436282966922,135
month,19.030378341674805,24h,0.1617184062904892,136
ph_change_12h,18.439517974853516,24h,0.15669732919223203,137
do_concentration_lag_3h,18.335094451904297,24h,0.15580994769054088,138
f168,17.925140380859375,24h,0.15232619566883263,139
do_saturation_rolling_std_6h,17.393571853637695,24h,0.147808975174681,140
water_temperature_lag_3h,16.86134910583496,24h,0.14328619517415325,141
ph_change_6h,15.109542846679688,24h,0.12839950657165214,142
f173,14.316036224365234,24h,0.12165636021703537,143
ph_rolling_std_12h,13.608770370483398,24h,0.11564607998718963,144
ph_lag_3h,12.081212997436523,24h,0.102665037810774,145
do_concentration_lag_1h,12.030521392822266,24h,0.10223426521322805,146
hour,11.656669616699219,24h,0.09905730717603083,147
turbidity_ratio_1h,11.391417503356934,24h,0.09680321909303356,148
turbidity_change_1h,9.253689765930176,24h,0.0786370052336614,149
f164,7.809350967407227,24h,0.06636314685591488,150
hour_sin,6.236135482788086,24h,0.05299410624325533,151
ph_change_3h,5.576303958892822,24h,0.04738691859050707,152
f195,3.6453819274902344,24h,0.030978120615861075,153
f129,0.052520751953125,24h,0.00044631652353633553,154
