horizon,scale_pos_weight,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc,validation_pr_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc
1h,126.0392749244713,0.9944613379669852,0.6810344827586207,0.8494623655913979,0.7559808612440191,0.9819133060829662,0.8785397868594492,0.9808026030368764,0.5285714285714286,0.20441988950276244,0.2948207171314741,0.9640074104906975,0.44960310207696674
6h,64.05460218408736,0.9892402283706632,0.6479591836734694,0.8141025641025641,0.7215909090909091,0.92867229211063,0.7841170956347405,0.9594756963407973,0.2631578947368421,0.0946372239747634,0.13921113689095127,0.8806248184103204,0.28725496016470553
12h,45.19463087248322,0.9782076940182344,0.5321428571428571,0.6962616822429907,0.6032388663967612,0.8959737508781639,0.6674722450650694,0.9484411149058058,0.3604060913705584,0.17191283292978207,0.23278688524590163,0.8272789466976986,0.2763942760002248
24h,29.049703264094955,0.9545973077800594,0.40582959641255606,0.5764331210191083,0.4763157894736842,0.8551151349998944,0.5061388868555239,0.9284833538840938,0.3811188811188811,0.1912280701754386,0.2546728971962617,0.763829103353522,0.2614406438787493
