horizon,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc,validation_pr_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc
1h,0.994244135534318,0.6785714285714286,0.8172043010752689,0.7414634146341463,0.9848093948884917,0.8424699844642869,0.9823210412147505,0.65,0.2154696132596685,0.3236514522821577,0.9743905934932664,0.554833752672209
6h,0.9886912604303909,0.6549707602339181,0.717948717948718,0.6850152905198776,0.9358301253408492,0.7062840087311941,0.9639541234298198,0.43010752688172044,0.12618296529968454,0.1951219512195122,0.9204615786576891,0.40182582916276643
12h,0.9828774738714698,0.65625,0.5887850467289719,0.6206896551724138,0.8976875013305516,0.6338847230453494,0.956483419632037,0.5576923076923077,0.2106537530266344,0.30579964850615116,0.8721355965739505,0.39991882491000186
24h,0.9691991786447639,0.602803738317757,0.410828025477707,0.48863636363636365,0.858792514341007,0.5086264272976071,0.9465306579979823,0.6690909090909091,0.32280701754385965,0.43550295857988164,0.8216212156543916,0.4495371079771987
