horizon,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_roc_auc,validation_pr_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc
1h,0.9790399652476107,0.3175182481751825,0.9354838709677419,0.47411444141689374,0.9483304726346151,0.8408685274760197,0.9544468546637744,0.292894280762565,0.9337016574585635,0.44591029023746703,0.9713628909470868,0.6607143898195093
6h,0.9553140096618358,0.2572533849129594,0.8525641025641025,0.3952451708766716,0.9179792225201073,0.7344403634636597,0.9234298197706171,0.29265658747300216,0.8548895899053628,0.4360418342719228,0.9298126886837238,0.6080582189960467
12h,0.9285078941516567,0.22033898305084745,0.7897196261682243,0.34454638124362896,0.8696634236689162,0.6299358766690301,0.8822298116117661,0.24652241112828438,0.7723970944309927,0.37375512595196253,0.8821786848924273,0.5195013795777539
24h,0.8425735797399042,0.1456117021276596,0.697452229299363,0.24092409240924093,0.8248716619290349,0.502272717647734,0.812689160408026,0.20949868073878627,0.6964912280701754,0.32210953346855986,0.8023579485175638,0.47000666814360753
