horizon,fold,threshold,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,predicted_positive,actual_positive
1h,4,0.65,0.5384615384615384,0.5645161290322581,0.5511811023622047,6215,30,27,35,65,62
1h,4,0.7,0.6140350877192983,0.5645161290322581,0.5882352941176471,6223,22,27,35,57,62
1h,4,0.75,0.673469387755102,0.532258064516129,0.5945945945945946,6229,16,29,33,49,62
1h,4,0.8,0.6956521739130435,0.5161290322580645,0.5925925925925926,6231,14,30,32,46,62
1h,4,0.85,0.7209302325581395,0.5,0.5904761904761905,6233,12,31,31,43,62
1h,4,0.9,0.7567567567567568,0.45161290322580644,0.5656565656565656,6236,9,34,28,37,62
6h,1,0.1,0.0,0.0,0.0,6052,0,203,0,0,203
6h,1,0.15,0.0,0.0,0.0,6052,0,203,0,0,203
6h,1,0.2,0.0,0.0,0.0,6052,0,203,0,0,203
6h,1,0.25,0.0,0.0,0.0,6052,0,203,0,0,203
6h,1,0.3,0.0,0.0,0.0,6052,0,203,0,0,203
6h,1,0.35,0.0,0.0,0.0,6052,0,203,0,0,203
6h,1,0.4,0.0,0.0,0.0,6052,0,203,0,0,203
6h,1,0.45,0.0,0.0,0.0,6052,0,203,0,0,203
6h,1,0.5,0.0,0.0,0.0,6052,0,203,0,0,203
6h,1,0.55,0.0,0.0,0.0,6052,0,203,0,0,203
6h,1,0.6,0.0,0.0,0.0,6052,0,203,0,0,203
6h,1,0.65,0.0,0.0,0.0,6052,0,203,0,0,203
6h,1,0.7,0.0,0.0,0.0,6052,0,203,0,0,203
6h,1,0.75,0.0,0.0,0.0,6052,0,203,0,0,203
6h,1,0.8,0.0,0.0,0.0,6052,0,203,0,0,203
6h,1,0.85,0.0,0.0,0.0,6052,0,203,0,0,203
6h,1,0.9,0.0,0.0,0.0,6052,0,203,0,0,203
6h,2,0.1,0.5189873417721519,0.3904761904761905,0.44565217391304346,6112,38,64,41,79,105
6h,2,0.15,0.5571428571428572,0.37142857142857144,0.44571428571428573,6119,31,66,39,70,105
6h,2,0.2,0.6031746031746031,0.3619047619047619,0.4523809523809524,6125,25,67,38,63,105
6h,2,0.25,0.5932203389830508,0.3333333333333333,0.4268292682926829,6126,24,70,35,59,105
6h,2,0.3,0.6181818181818182,0.3238095238095238,0.425,6129,21,71,34,55,105
6h,2,0.35,0.6181818181818182,0.3238095238095238,0.425,6129,21,71,34,55,105
6h,2,0.4,0.6226415094339622,0.3142857142857143,0.4177215189873418,6130,20,72,33,53,105
6h,2,0.45,0.6530612244897959,0.3047619047619048,0.4155844155844156,6133,17,73,32,49,105
6h,2,0.5,0.6530612244897959,0.3047619047619048,0.4155844155844156,6133,17,73,32,49,105
6h,2,0.55,0.6739130434782609,0.29523809523809524,0.4105960264900662,6135,15,74,31,46,105
6h,2,0.6,0.6888888888888889,0.29523809523809524,0.41333333333333333,6136,14,74,31,45,105
6h,2,0.65,0.6888888888888889,0.29523809523809524,0.41333333333333333,6136,14,74,31,45,105
6h,2,0.7,0.6976744186046512,0.2857142857142857,0.40540540540540543,6137,13,75,30,43,105
6h,2,0.75,0.725,0.2761904761904762,0.4,6139,11,76,29,40,105
6h,2,0.8,0.7435897435897436,0.2761904761904762,0.4027777777777778,6140,10,76,29,39,105
6h,2,0.85,0.7777777777777778,0.26666666666666666,0.3971631205673759,6142,8,77,28,36,105
6h,2,0.9,0.8387096774193549,0.24761904761904763,0.38235294117647056,6145,5,79,26,31,105
6h,3,0.1,0.47619047619047616,0.603448275862069,0.532319391634981,6062,77,46,70,147,116
6h,3,0.15,0.5075757575757576,0.5775862068965517,0.5403225806451613,6074,65,49,67,132,116
6h,3,0.2,0.5454545454545454,0.5689655172413793,0.5569620253164557,6084,55,50,66,121,116
6h,3,0.25,0.5486725663716814,0.5344827586206896,0.5414847161572053,6088,51,54,62,113,116
6h,3,0.3,0.5865384615384616,0.5258620689655172,0.5545454545454546,6096,43,55,61,104,116
6h,3,0.35,0.6020408163265306,0.5086206896551724,0.5514018691588785,6100,39,57,59,98,116
6h,3,0.4,0.6195652173913043,0.49137931034482757,0.5480769230769231,6104,35,59,57,92,116
6h,3,0.45,0.6511627906976745,0.4827586206896552,0.5544554455445545,6109,30,60,56,86,116
6h,3,0.5,0.6666666666666666,0.4827586206896552,0.56,6111,28,60,56,84,116
6h,3,0.55,0.6790123456790124,0.47413793103448276,0.5583756345177665,6113,26,61,55,81,116
6h,3,0.6,0.6883116883116883,0.45689655172413796,0.5492227979274611,6115,24,63,53,77,116
6h,3,0.65,0.6891891891891891,0.4396551724137931,0.5368421052631579,6116,23,65,51,74,116
6h,3,0.7,0.7142857142857143,0.43103448275862066,0.5376344086021505,6119,20,66,50,70,116
6h,3,0.75,0.7575757575757576,0.43103448275862066,0.5494505494505495,6123,16,66,50,66,116
6h,3,0.8,0.8166666666666667,0.4224137931034483,0.5568181818181818,6128,11,67,49,60,116
6h,3,0.85,0.8181818181818182,0.3879310344827586,0.5263157894736842,6129,10,71,45,55,116
6h,3,0.9,0.84,0.3620689655172414,0.5060240963855421,6131,8,74,42,50,116
6h,4,0.1,0.5111111111111111,0.7540983606557377,0.609271523178808,6045,88,30,92,180,122
6h,4,0.15,0.5269461077844312,0.7213114754098361,0.6089965397923875,6054,79,34,88,167,122
6h,4,0.2,0.5432098765432098,0.7213114754098361,0.6197183098591549,6059,74,34,88,162,122
6h,4,0.25,0.567741935483871,0.7213114754098361,0.6353790613718412,6066,67,34,88,155,122
6h,4,0.3,0.58,0.7131147540983607,0.6397058823529411,6070,63,35,87,150,122
6h,4,0.35,0.5915492957746479,0.6885245901639344,0.6363636363636364,6075,58,38,84,142,122
6h,4,0.4,0.5869565217391305,0.6639344262295082,0.6230769230769231,6076,57,41,81,138,122
6h,4,0.45,0.5970149253731343,0.6557377049180327,0.625,6079,54,42,80,134,122
6h,4,0.5,0.6046511627906976,0.639344262295082,0.6215139442231076,6082,51,44,78,129,122
6h,4,0.55,0.6147540983606558,0.6147540983606558,0.6147540983606558,6086,47,47,75,122,122
6h,4,0.6,0.6260869565217392,0.5901639344262295,0.6075949367088608,6090,43,50,72,115,122
6h,4,0.65,0.6538461538461539,0.5573770491803278,0.6017699115044248,6097,36,54,68,104,122
6h,4,0.7,0.6565656565656566,0.5327868852459017,0.5882352941176471,6099,34,57,65,99,122
6h,4,0.75,0.6555555555555556,0.48360655737704916,0.5566037735849056,6102,31,63,59,90,122
6h,4,0.8,0.6419753086419753,0.4262295081967213,0.5123152709359606,6104,29,70,52,81,122
6h,4,0.85,0.6865671641791045,0.3770491803278688,0.48677248677248675,6112,21,76,46,67,122
6h,4,0.9,0.7115384615384616,0.30327868852459017,0.42528735632183906,6118,15,85,37,52,122
12h,1,0.1,0.3939393939393939,0.05138339920948617,0.09090909090909091,5921,20,240,13,33,253
12h,1,0.15,0.38461538461538464,0.039525691699604744,0.07168458781362007,5925,16,243,10,26,253
12h,1,0.2,0.42857142857142855,0.03557312252964427,0.06569343065693431,5929,12,244,9,21,253
12h,1,0.25,0.5,0.03557312252964427,0.06642066420664207,5932,9,244,9,18,253
12h,1,0.3,0.5,0.03162055335968379,0.05947955390334572,5933,8,245,8,16,253
12h,1,0.35,0.6153846153846154,0.03162055335968379,0.06015037593984962,5936,5,245,8,13,253
12h,1,0.4,0.6,0.023715415019762844,0.045627376425855515,5937,4,247,6,10,253
12h,1,0.45,0.625,0.019762845849802372,0.038314176245210725,5938,3,248,5,8,253
12h,1,0.5,0.8333333333333334,0.019762845849802372,0.03861003861003861,5940,1,248,5,6,253
12h,1,0.55,0.8333333333333334,0.019762845849802372,0.03861003861003861,5940,1,248,5,6,253
12h,1,0.6,0.8333333333333334,0.019762845849802372,0.03861003861003861,5940,1,248,5,6,253
12h,1,0.65,0.8333333333333334,0.019762845849802372,0.03861003861003861,5940,1,248,5,6,253
12h,1,0.7,0.8333333333333334,0.019762845849802372,0.03861003861003861,5940,1,248,5,6,253
12h,1,0.75,1.0,0.019762845849802372,0.03875968992248062,5941,0,248,5,5,253
12h,1,0.8,1.0,0.019762845849802372,0.03875968992248062,5941,0,248,5,5,253
12h,1,0.85,1.0,0.019762845849802372,0.03875968992248062,5941,0,248,5,5,253
12h,1,0.9,1.0,0.019762845849802372,0.03875968992248062,5941,0,248,5,5,253
12h,2,0.1,0.4690265486725664,0.3333333333333333,0.3897058823529412,5975,60,106,53,113,159
12h,2,0.15,0.5,0.3018867924528302,0.3764705882352941,5987,48,111,48,96,159
12h,2,0.2,0.5,0.2641509433962264,0.345679012345679,5993,42,117,42,84,159
12h,2,0.25,0.48,0.22641509433962265,0.3076923076923077,5996,39,123,36,75,159
12h,2,0.3,0.5070422535211268,0.22641509433962265,0.3130434782608696,6000,35,123,36,71,159
12h,2,0.35,0.5373134328358209,0.22641509433962265,0.3185840707964602,6004,31,123,36,67,159
12h,2,0.4,0.5737704918032787,0.22012578616352202,0.3181818181818182,6009,26,124,35,61,159
12h,2,0.45,0.5964912280701754,0.2138364779874214,0.3148148148148148,6012,23,125,34,57,159
12h,2,0.5,0.6274509803921569,0.20125786163522014,0.3047619047619048,6016,19,127,32,51,159
12h,2,0.55,0.6666666666666666,0.20125786163522014,0.30917874396135264,6019,16,127,32,48,159
12h,2,0.6,0.6808510638297872,0.20125786163522014,0.3106796116504854,6020,15,127,32,47,159
12h,2,0.65,0.7619047619047619,0.20125786163522014,0.31840796019900497,6025,10,127,32,42,159
12h,2,0.7,0.7948717948717948,0.1949685534591195,0.31313131313131315,6027,8,128,31,39,159
12h,2,0.75,0.8108108108108109,0.18867924528301888,0.30612244897959184,6028,7,129,30,37,159
12h,2,0.8,0.8108108108108109,0.18867924528301888,0.30612244897959184,6028,7,129,30,37,159
12h,2,0.85,0.8285714285714286,0.18238993710691823,0.29896907216494845,6029,6,130,29,35,159
12h,2,0.9,0.8285714285714286,0.18238993710691823,0.29896907216494845,6029,6,130,29,35,159
12h,3,0.1,0.39520958083832336,0.4125,0.4036697247706422,5933,101,94,66,167,160
12h,3,0.15,0.45714285714285713,0.4,0.4266666666666667,5958,76,96,64,140,160
12h,3,0.2,0.488,0.38125,0.4280701754385965,5970,64,99,61,125,160
12h,3,0.25,0.49572649572649574,0.3625,0.4187725631768953,5975,59,102,58,117,160
12h,3,0.3,0.514018691588785,0.34375,0.41198501872659177,5982,52,105,55,107,160
12h,3,0.35,0.53,0.33125,0.4076923076923077,5987,47,107,53,100,160
12h,3,0.4,0.5888888888888889,0.33125,0.424,5997,37,107,53,90,160
12h,3,0.45,0.6172839506172839,0.3125,0.4149377593360996,6003,31,110,50,81,160
12h,3,0.5,0.6486486486486487,0.3,0.41025641025641024,6008,26,112,48,74,160
12h,3,0.55,0.6764705882352942,0.2875,0.40350877192982454,6012,22,114,46,68,160
12h,3,0.6,0.7142857142857143,0.28125,0.40358744394618834,6016,18,115,45,63,160
12h,3,0.65,0.7142857142857143,0.28125,0.40358744394618834,6016,18,115,45,63,160
12h,3,0.7,0.7333333333333333,0.275,0.4,6018,16,116,44,60,160
12h,3,0.75,0.7358490566037735,0.24375,0.36619718309859156,6020,14,121,39,53,160
12h,3,0.8,0.7346938775510204,0.225,0.3444976076555024,6021,13,124,36,49,160
12h,3,0.85,0.8205128205128205,0.2,0.32160804020100503,6027,7,128,32,39,160
12h,3,0.9,0.8333333333333334,0.1875,0.30612244897959184,6028,6,130,30,36,160
12h,4,0.1,0.33548387096774196,0.6153846153846154,0.4342379958246347,5819,206,65,104,310,169
12h,4,0.15,0.3660377358490566,0.5739644970414202,0.4470046082949309,5857,168,72,97,265,169
12h,4,0.2,0.3948497854077253,0.5443786982248521,0.4577114427860697,5884,141,77,92,233,169
12h,4,0.25,0.4230769230769231,0.5207100591715976,0.46684350132625996,5905,120,81,88,208,169
12h,4,0.3,0.4381443298969072,0.5029585798816568,0.46831955922865015,5916,109,84,85,194,169
12h,4,0.35,0.4644808743169399,0.5029585798816568,0.48295454545454547,5927,98,84,85,183,169
12h,4,0.4,0.46511627906976744,0.47337278106508873,0.46920821114369504,5933,92,89,80,172,169
12h,4,0.45,0.4878048780487805,0.47337278106508873,0.4804804804804805,5941,84,89,80,164,169
12h,4,0.5,0.5033112582781457,0.44970414201183434,0.475,5950,75,93,76,151,169
12h,4,0.55,0.5142857142857142,0.4260355029585799,0.46601941747572817,5957,68,97,72,140,169
12h,4,0.6,0.5230769230769231,0.40236686390532544,0.45484949832775917,5963,62,101,68,130,169
12h,4,0.65,0.5294117647058824,0.3727810650887574,0.4375,5969,56,106,63,119,169
12h,4,0.7,0.5504587155963303,0.35502958579881655,0.4316546762589928,5976,49,109,60,109,169
12h,4,0.75,0.5454545454545454,0.31952662721893493,0.40298507462686567,5980,45,115,54,99,169
12h,4,0.8,0.5697674418604651,0.28994082840236685,0.3843137254901961,5988,37,120,49,86,169
12h,4,0.85,0.5633802816901409,0.23668639053254437,0.3333333333333333,5994,31,129,40,71,169
12h,4,0.9,0.5892857142857143,0.1952662721893491,0.29333333333333333,6002,23,136,33,56,169
24h,1,0.1,0.023255813953488372,0.002976190476190476,0.005277044854881266,5698,42,335,1,43,336
24h,1,0.15,0.029411764705882353,0.002976190476190476,0.005405405405405406,5707,33,335,1,34,336
24h,1,0.2,0.03571428571428571,0.002976190476190476,0.005494505494505495,5713,27,335,1,28,336
24h,1,0.25,0.043478260869565216,0.002976190476190476,0.005571030640668524,5718,22,335,1,23,336
24h,1,0.3,0.047619047619047616,0.002976190476190476,0.0056022408963585435,5720,20,335,1,21,336
24h,1,0.35,0.05,0.002976190476190476,0.0056179775280898875,5721,19,335,1,20,336
24h,1,0.4,0.058823529411764705,0.002976190476190476,0.0056657223796034,5724,16,335,1,17,336
24h,1,0.45,0.0625,0.002976190476190476,0.005681818181818182,5725,15,335,1,16,336
24h,1,0.5,0.06666666666666667,0.002976190476190476,0.005698005698005698,5726,14,335,1,15,336
24h,1,0.55,0.07692307692307693,0.002976190476190476,0.0057306590257879654,5728,12,335,1,13,336
24h,1,0.6,0.08333333333333333,0.002976190476190476,0.005747126436781609,5729,11,335,1,12,336
24h,1,0.65,0.08333333333333333,0.002976190476190476,0.005747126436781609,5729,11,335,1,12,336
24h,1,0.7,0.1,0.002976190476190476,0.005780346820809248,5731,9,335,1,10,336
24h,1,0.75,0.14285714285714285,0.002976190476190476,0.0058309037900874635,5734,6,335,1,7,336
24h,1,0.8,0.25,0.002976190476190476,0.0058823529411764705,5737,3,335,1,4,336
24h,1,0.85,0.25,0.002976190476190476,0.0058823529411764705,5737,3,335,1,4,336
24h,1,0.9,0.25,0.002976190476190476,0.0058823529411764705,5737,3,335,1,4,336
24h,2,0.1,0.48095238095238096,0.3782771535580524,0.42348008385744235,5700,109,166,101,210,267
24h,2,0.15,0.5414012738853503,0.31835205992509363,0.4009433962264151,5737,72,182,85,157,267
24h,2,0.2,0.592,0.27715355805243447,0.37755102040816324,5758,51,193,74,125,267
24h,2,0.25,0.631578947368421,0.2696629213483146,0.3779527559055118,5767,42,195,72,114,267
24h,2,0.3,0.6435643564356436,0.24344569288389514,0.3532608695652174,5773,36,202,65,101,267
24h,2,0.35,0.6736842105263158,0.2397003745318352,0.35359116022099446,5778,31,203,64,95,267
24h,2,0.4,0.686046511627907,0.2209737827715356,0.3342776203966006,5782,27,208,59,86,267
24h,2,0.45,0.6987951807228916,0.21722846441947566,0.3314285714285714,5784,25,209,58,83,267
24h,2,0.5,0.7051282051282052,0.20599250936329588,0.3188405797101449,5786,23,212,55,78,267
24h,2,0.55,0.7066666666666667,0.19850187265917604,0.30994152046783624,5787,22,214,53,75,267
24h,2,0.6,0.7014925373134329,0.1760299625468165,0.281437125748503,5789,20,220,47,67,267
24h,2,0.65,0.6923076923076923,0.16853932584269662,0.2710843373493976,5789,20,222,45,65,267
24h,2,0.7,0.7368421052631579,0.15730337078651685,0.25925925925925924,5794,15,225,42,57,267
24h,2,0.75,0.7358490566037735,0.14606741573033707,0.24375,5795,14,228,39,53,267
24h,2,0.8,0.7708333333333334,0.13857677902621723,0.23492063492063492,5798,11,230,37,48,267
24h,2,0.85,0.7608695652173914,0.13108614232209737,0.22364217252396165,5798,11,232,35,46,267
