timestamp_utc,water_temperature,sp_conductance,ph,do_concentration,do_saturation,turbidity,segment_id,high_turbidity
2011-04-28 20:00:00+00:00,10.32,0.12,7.16,11.6,103.5,993.4,0,True
2012-05-21 16:00:00+00:00,3.75,0.057,7.39,12.49,94.7,711.7,2,True
2013-05-10 00:00:00+00:00,5.25,0.066,7.64,13.45,106.0,342.6,3,True
2013-05-10 01:00:00+00:00,5.63,0.064,7.63,13.31,105.9,326.9,3,True
2013-07-03 05:00:00+00:00,5.34,0.021,7.14,13.4,105.6,590.5,3,True
2013-07-09 09:00:00+00:00,5.08,0.024,6.05,13.41,105.0,390.0,3,True
2013-09-08 09:00:00+00:00,6.15,0.017,7.26,13.1,105.1,613.4,3,True
2013-09-08 10:00:00+00:00,6.14,0.017,7.22,13.08,105.0,391.4,3,True
2013-09-08 11:00:00+00:00,6.06,0.018,7.27,13.09,104.9,835.6,3,True
2013-09-08 12:00:00+00:00,6.08,0.019,7.29,13.08,104.8,799.3,3,True
2013-09-08 13:00:00+00:00,6.19,0.021,7.32,13.03,104.7,904.9,3,True
2013-09-08 14:00:00+00:00,6.23,0.023,7.41,12.98,104.4,1063.5,3,True
2013-09-08 15:00:00+00:00,6.26,0.026,7.47,12.95,104.2,1226.1,3,True
2013-09-08 16:00:00+00:00,6.02,0.033,7.81,13.01,104.1,1281.8,3,True
2013-09-08 17:00:00+00:00,5.68,0.035,7.86,13.14,104.3,1278.3,3,True
2013-09-08 18:00:00+00:00,5.46,0.034,7.81,13.24,104.6,1275.8,3,True
2013-09-08 19:00:00+00:00,5.42,0.033,7.73,13.28,104.8,1264.1,3,True
2013-09-08 20:00:00+00:00,5.39,0.031,7.66,13.3,104.9,1146.1,3,True
2013-09-08 21:00:00+00:00,5.36,0.029,7.59,13.34,105.1,1230.1,3,True
2013-09-08 22:00:00+00:00,5.35,0.027,7.52,13.36,105.3,724.9,3,True
2013-09-08 23:00:00+00:00,5.4,0.026,7.48,13.35,105.3,829.1,3,True
2013-09-09 00:00:00+00:00,5.37,0.026,7.47,13.39,105.6,735.5,3,True
2013-09-09 01:00:00+00:00,5.39,0.024,7.45,13.41,105.7,893.0,3,True
2013-09-09 02:00:00+00:00,5.34,0.024,7.45,13.43,105.7,444.8,3,True
2013-09-09 03:00:00+00:00,5.31,0.024,7.41,13.42,105.6,479.9,3,True
2013-09-09 04:00:00+00:00,5.28,0.024,7.41,13.43,105.6,428.5,3,True
2013-09-09 05:00:00+00:00,5.25,0.024,7.39,13.42,105.5,359.9,3,True
2013-09-09 06:00:00+00:00,5.22,0.024,7.38,13.44,105.5,364.2,3,True
2013-09-09 07:00:00+00:00,5.18,0.024,7.37,13.45,105.5,462.9,3,True
2013-09-09 08:00:00+00:00,5.13,0.023,7.35,13.47,105.6,336.2,3,True
2013-09-21 19:00:00+00:00,4.83,0.034,7.44,13.26,103.1,344.0,3,True
2014-08-01 05:00:00+00:00,7.31,0.023,7.07,12.17,101.0,455.7,4,True
2014-08-12 14:00:00+00:00,6.48,0.021,7.01,12.39,100.7,697.3,4,True
2014-08-12 15:00:00+00:00,6.32,0.025,7.14,12.38,100.2,1199.2,4,True
