timestamp_utc,water_temperature,sp_conductance,ph,do_concentration,do_saturation,turbidity
2019-09-20 19:00:54+00:00,5.32,0.033,7.14,12.88,101.7,111.5
2019-09-20 20:00:54+00:00,5.4,0.032,7.14,12.85,101.6,106.6
2019-09-20 21:00:54+00:00,5.43,0.032,7.16,12.83,101.6,95.5
2019-09-20 22:00:54+00:00,5.51,0.032,7.17,12.79,101.5,114.6
2019-09-20 23:00:54+00:00,5.64,0.031,7.16,12.74,101.4,146.6
2019-09-21 00:00:54+00:00,5.77,0.031,7.17,12.68,101.3,133.7
2019-09-21 01:00:54+00:00,5.87,0.03,7.13,12.65,101.3,175.8
2019-09-21 02:00:54+00:00,5.95,0.03,7.12,12.63,101.3,287.1
2019-09-21 03:00:54+00:00,5.96,0.029,7.16,12.63,101.3,228.7
2019-09-21 04:00:54+00:00,5.97,0.031,7.2,12.59,101.1,300.9
2019-09-21 05:00:54+00:00,5.9,0.03,7.14,12.62,101.1,316.1
2019-09-21 06:00:54+00:00,6.01,0.03,7.12,12.59,101.1,389.7
2019-09-21 07:00:54+00:00,6.14,0.048,8.8,12.51,100.8,1302.6
2019-09-21 08:00:54+00:00,6.13,0.04,7.8,12.53,101.0,795.6
2019-09-21 09:00:54+00:00,6.18,0.038,7.48,12.5,100.9,827.5
2019-09-21 10:00:54+00:00,6.23,0.038,7.45,12.5,101.0,1299.1
2019-09-21 11:00:54+00:00,6.22,0.039,7.44,12.49,100.9,1241.6
2019-09-21 12:00:54+00:00,6.16,0.038,7.36,12.49,100.7,1256.5
2019-09-21 13:00:54+00:00,6.09,0.037,7.32,12.49,100.6,1043.8
2019-09-21 14:00:54+00:00,5.93,0.037,7.29,12.54,100.5,842.3
2019-09-21 15:00:54+00:00,5.75,0.036,7.25,12.6,100.6,918.8
2019-09-21 16:00:54+00:00,5.57,0.036,7.27,12.65,100.5,569.6
2019-09-21 17:00:54+00:00,5.47,0.036,7.23,12.71,100.7,592.2
2019-09-21 18:00:54+00:00,5.44,0.036,7.23,12.72,100.7,543.5
2019-09-21 19:00:54+00:00,5.44,0.036,7.24,12.73,100.8,404.1
