timestamp_utc,water_temperature,sp_conductance,ph,do_concentration,do_saturation,turbidity
2022-09-26 12:00:00+00:00,5.59,0.035,7.35,12.9,102.5,39.0
2022-09-26 13:00:00+00:00,5.57,0.034,7.33,12.89,102.4,36.3
2022-09-26 14:00:00+00:00,5.53,0.034,7.32,12.9,102.4,61.0
2022-09-26 15:00:00+00:00,5.53,0.033,7.31,12.9,102.3,65.0
2022-09-26 16:00:00+00:00,5.67,0.032,7.28,12.84,102.3,83.7
2022-09-26 17:00:00+00:00,6.11,0.03,7.27,12.7,102.4,156.4
2022-09-26 18:00:00+00:00,6.51,0.029,7.25,12.6,102.5,139.7
2022-09-26 19:00:00+00:00,6.96,0.029,7.28,12.47,102.6,295.9
2022-09-26 20:00:00+00:00,7.36,0.029,7.31,12.36,102.7,435.0
2022-09-26 21:00:00+00:00,7.45,0.031,7.36,12.31,102.5,598.6
2022-09-26 22:00:00+00:00,7.38,0.035,7.48,12.27,102.0,963.7
2022-09-26 23:00:00+00:00,7.25,0.038,7.57,12.3,101.9,1081.2
2022-09-27 00:00:00+00:00,7.05,0.043,7.69,12.33,101.7,1259.7
2022-09-27 01:00:00+00:00,6.9,0.044,7.7,12.36,101.6,1229.2
2022-09-27 02:00:00+00:00,6.67,0.044,7.63,12.41,101.4,1200.7
2022-09-27 03:00:00+00:00,6.52,0.043,7.59,12.47,101.5,1181.9
2022-09-27 04:00:00+00:00,6.4,0.043,7.55,12.51,101.5,1129.4
2022-09-27 05:00:00+00:00,6.28,0.041,7.51,12.56,101.7,994.2
2022-09-27 06:00:00+00:00,6.11,0.041,7.5,12.64,101.8,940.7
2022-09-27 07:00:00+00:00,5.96,0.041,7.49,12.7,101.9,831.3
2022-09-27 08:00:00+00:00,5.81,0.04,7.47,12.75,102.0,763.4
2022-09-27 09:00:00+00:00,5.69,0.039,7.45,12.79,101.9,656.8
2022-09-27 10:00:00+00:00,5.58,0.039,7.43,12.85,102.2,630.3
2022-09-27 11:00:00+00:00,5.49,0.039,7.43,12.9,102.3,559.3
2022-09-27 12:00:00+00:00,5.43,0.039,7.41,12.92,102.3,533.6
