timestamp_utc,turbidity,year,period
2011-04-28 20:00:00+00:00,993.4,2011,train
2012-05-21 16:00:00+00:00,711.7,2012,train
2013-05-10 00:00:00+00:00,342.6,2013,train
2013-05-10 01:00:00+00:00,326.9,2013,train
2013-07-03 05:00:00+00:00,590.5,2013,train
2013-07-09 09:00:00+00:00,390.0,2013,train
2013-09-08 09:00:00+00:00,613.4,2013,train
2013-09-08 10:00:00+00:00,391.4,2013,train
2013-09-08 11:00:00+00:00,835.6,2013,train
2013-09-08 12:00:00+00:00,799.3,2013,train
2013-09-08 13:00:00+00:00,904.9,2013,train
2013-09-08 14:00:00+00:00,1063.5,2013,train
2013-09-08 15:00:00+00:00,1226.1,2013,train
2013-09-08 16:00:00+00:00,1281.8,2013,train
2013-09-08 17:00:00+00:00,1278.3,2013,train
2013-09-08 18:00:00+00:00,1275.8,2013,train
2013-09-08 19:00:00+00:00,1264.1,2013,train
2013-09-08 20:00:00+00:00,1146.1,2013,train
2013-09-08 21:00:00+00:00,1230.1,2013,train
2013-09-08 22:00:00+00:00,724.9,2013,train
2013-09-08 23:00:00+00:00,829.1,2013,train
2013-09-09 00:00:00+00:00,735.5,2013,train
2013-09-09 01:00:00+00:00,893.0,2013,train
2013-09-09 02:00:00+00:00,444.8,2013,train
2013-09-09 03:00:00+00:00,479.9,2013,train
2013-09-09 04:00:00+00:00,428.5,2013,train
2013-09-09 05:00:00+00:00,359.9,2013,train
2013-09-09 06:00:00+00:00,364.2,2013,train
2013-09-09 07:00:00+00:00,462.9,2013,train
2013-09-09 08:00:00+00:00,336.2,2013,train
2013-09-21 19:00:00+00:00,344.0,2013,train
2014-08-01 05:00:00+00:00,455.7,2014,train
2014-08-12 14:00:00+00:00,697.3,2014,train
2014-08-12 15:00:00+00:00,1199.2,2014,train
2014-08-12 16:00:00+00:00,1060.2,2014,train
2014-08-12 17:00:00+00:00,1214.2,2014,train
2014-08-12 18:00:00+00:00,1069.8,2014,train
2014-08-12 19:00:00+00:00,1216.5,2014,train
2014-08-12 20:00:00+00:00,1207.8,2014,train
2014-08-12 21:00:00+00:00,1178.7,2014,train
2014-08-12 22:00:00+00:00,768.2,2014,train
2014-08-12 23:00:00+00:00,939.8,2014,train
2014-08-13 00:00:00+00:00,711.2,2014,train
2014-08-13 01:00:00+00:00,658.8,2014,train
2014-08-13 02:00:00+00:00,448.7,2014,train
2014-08-13 03:00:00+00:00,786.9,2014,train
2014-08-13 04:00:00+00:00,396.0,2014,train
2014-08-13 05:00:00+00:00,468.0,2014,train
2014-08-13 08:00:00+00:00,510.6,2014,train
2014-09-22 11:00:00+00:00,358.9,2014,train
2014-09-22 14:00:00+00:00,351.9,2014,train
2014-09-22 15:00:00+00:00,430.6,2014,train
2014-09-22 17:00:00+00:00,363.5,2014,train
2014-10-04 16:00:00+00:00,470.1,2014,train
2014-10-04 17:00:00+00:00,427.5,2014,train
2014-10-04 18:00:00+00:00,350.8,2014,train
2014-10-04 19:00:00+00:00,440.8,2014,train
2014-10-04 20:00:00+00:00,333.4,2014,train
2014-10-04 21:00:00+00:00,356.6,2014,train
2014-10-04 22:00:00+00:00,347.1,2014,train
2014-10-04 23:00:00+00:00,529.4,2014,train
2014-10-05 01:00:00+00:00,432.1,2014,train
2014-10-05 04:00:00+00:00,326.1,2014,train
2014-10-05 06:00:00+00:00,334.2,2014,train
2014-10-05 08:00:00+00:00,326.3,2014,train
2014-10-10 21:00:00+00:00,346.2,2014,train
2014-10-10 22:00:00+00:00,875.2,2014,train
2014-10-10 23:00:00+00:00,558.7,2014,train
2014-10-11 00:00:00+00:00,580.5,2014,train
2014-10-11 01:00:00+00:00,419.0,2014,train
2014-10-11 02:00:00+00:00,466.9,2014,train
2014-10-11 03:00:00+00:00,519.7,2014,train
2014-10-11 04:00:00+00:00,594.7,2014,train
2014-10-11 05:00:00+00:00,418.2,2014,train
2014-10-11 06:00:00+00:00,431.0,2014,train
2015-08-18 18:00:00+00:00,348.5,2015,train
2015-08-18 21:00:00+00:00,459.2,2015,train
2015-08-18 22:00:00+00:00,382.4,2015,train
2015-08-18 23:00:00+00:00,436.4,2015,train
2015-08-19 00:00:00+00:00,485.1,2015,train
2015-08-19 01:00:00+00:00,621.8,2015,train
2015-08-19 02:00:00+00:00,446.7,2015,train
2015-08-19 03:00:00+00:00,369.4,2015,train
2015-08-19 05:00:00+00:00,423.2,2015,train
2015-08-19 06:00:00+00:00,320.2,2015,train
2015-08-19 08:00:00+00:00,322.6,2015,train
2015-08-22 18:00:00+00:00,1141.7,2015,train
2015-09-11 07:00:00+00:00,1118.6,2015,train
2015-09-11 08:00:00+00:00,924.8,2015,train
2015-09-11 09:00:00+00:00,1181.3,2015,train
2015-09-11 10:00:00+00:00,1199.8,2015,train
2015-09-11 11:00:00+00:00,1205.9,2015,train
2015-09-11 12:00:00+00:00,1202.6,2015,train
2015-09-11 13:00:00+00:00,1197.5,2015,train
2015-09-11 14:00:00+00:00,1200.3,2015,train
