feature,12h,24h,rank_12h,rank_24h
sp_conductance_rolling_std_6h,0.3067,0.5215,103.0,60.0
ph_change_12h,0.3017,0.1567,104.0,137.0
ph_rolling_mean_12h,0.2956,0.4271,105.0,80.0
ph_change_6h,0.2864,0.1284,106.0,142.0
sp_conductance,0.2798,0.4989,107.0,66.0
water_temperature_lag_24h,0.2786,0.2639,108.0,111.0
water_temperature_lag_1h,0.2781,0.2607,109.0,112.0
sp_conductance_rolling_max_24h,0.2747,0.459,110.0,73.0
ph_rolling_max_6h,0.2726,0.7944,111.0,33.0
turbidity_ratio_1h,0.2687,0.0968,112.0,148.0
do_saturation_change_6h,0.2652,0.2042,113.0,127.0
do_saturation_rolling_std_12h,0.2628,0.2383,114.0,119.0
do_saturation_change_12h,0.2608,0.4937,115.0,67.0
do_concentration_lag_24h,0.2459,0.2552,116.0,114.0
turbidity_lag_3h,0.2428,0.6486,117.0,44.0
high_turbidity,0.2317,0.2398,118.0,117.0
water_temperature_lag_12h,0.2299,0.1754,119.0,132.0
do_concentration_change_3h,0.2285,0.4765,120.0,71.0
do_concentration_change_6h,0.2248,0.1749,121.0,133.0
water_temperature_rolling_mean_12h,0.219,0.2529,122.0,115.0
day_of_week,0.2162,0.3397,123.0,96.0
month_sin,0.2121,2.2503,124.0,5.0
do_concentration_rolling_mean_6h,0.2118,0.2253,125.0,124.0
water_temperature,0.2001,0.2244,126.0,125.0
do_concentration_lag_3h,0.2,0.1558,127.0,138.0
do_concentration_rolling_std_6h,0.1752,0.1825,128.0,130.0
do_concentration,0.173,0.1625,129.0,135.0
do_concentration_change_12h,0.1704,0.394,130.0,88.0
missingindicator_sp_conductance_rolling_mean_12h,0.1636,0.9354,131.0,26.0
turbidity_change_1h,0.1589,0.0786,132.0,149.0
hour_cos,0.1551,0.2793,133.0,106.0
do_saturation_rolling_std_6h,0.1416,0.1478,134.0,140.0
missingindicator_do_saturation_change_24h,0.1401,0.0,135.0,155.0
turbidity_lag_6h,0.1294,0.1876,136.0,129.0
hour,0.1074,0.0991,137.0,147.0
hour_sin,0.0958,0.053,138.0,151.0
missingindicator_do_saturation_lag_24h,0.0504,0.0,139.0,155.0
missingindicator_do_concentration_rolling_std_24h,0.0478,0.0,140.0,155.0
missingindicator_do_concentration_change_6h,0.0456,0.169,141.0,134.0
missingindicator_water_temperature_lag_24h,0.0,0.5078,142.0,65.0
missingindicator_water_temperature_change_24h,0.0,0.0664,142.0,150.0
missingindicator_sp_conductance,0.0,0.8699,142.0,30.0
missingindicator_do_concentration_rolling_mean_24h,0.0,2.0083,142.0,6.0
missingindicator_do_concentration_change_12h,0.0,0.4801,142.0,69.0
missingindicator_do_concentration_change_3h,0.0,0.1217,142.0,143.0
missingindicator_do_concentration_lag_12h,0.0,1.6912,142.0,11.0
missingindicator_sp_conductance_lag_12h,0.0,0.6924,142.0,39.0
missingindicator_sp_conductance_lag_24h,0.0,0.4838,142.0,68.0
missingindicator_sp_conductance_lag_3h,0.0,1.9522,142.0,7.0
missingindicator_water_temperature_rolling_mean_24h,0.0,1.6875,142.0,12.0
missingindicator_sp_conductance_rolling_max_6h,0.0,0.031,142.0,153.0
missingindicator_do_concentration_rolling_max_24h,0.0,1.6237,142.0,13.0
missingindicator_do_concentration_lag_6h,0.0,2.9334,142.0,3.0
missingindicator_do_concentration_lag_3h,0.0,1.1175,142.0,20.0
missingindicator_do_saturation,0.0,0.0004,142.0,154.0
missingindicator_do_saturation_lag_12h,0.0,0.7815,142.0,35.0
missingindicator_do_saturation_lag_3h,0.0,0.326,142.0,97.0
missingindicator_ph,0.0,0.7536,142.0,36.0
missingindicator_sp_conductance_change_24h,0.0,0.1523,142.0,139.0
