horizon,threshold,test_events,detected_events,missed_events,event_detection_rate,mean_first_warning_lead_hours,median_first_warning_lead_hours,minimum_first_warning_lead_hours,maximum_first_warning_lead_hours,total_warning_episodes_associated_with_events,mean_warning_episodes_per_detected_event,median_warning_episodes_per_detected_event
12h,0.15,12,12,0,1.0,34.5,38.0,7.0,47.0,45,3.75,4.0
24h,0.15,12,12,0,1.0,36.916666666666664,41.5,11.0,48.0,42,3.5,3.0
