feature_index,feature,gain,horizon,gain_percentage,rank
f68,turbidity_change_24h,1099.49462890625,24h,9.3434043148941,1
f128,missingindicator_do_concentration,413.1904296875,24h,3.5112543000374354,2
f148,missingindicator_do_concentration_lag_6h,345.190673828125,24h,2.933398623798017,3
f150,missingindicator_do_concentration_lag_24h,276.40875244140625,24h,2.3488961767868166,4
f13,month_sin,264.81170654296875,24h,2.2503455464892625,5
f218,missingindicator_do_concentration_rolling_mean_24h,236.3284454345703,24h,2.008297411149843,6
f137,missingindicator_sp_conductance_lag_3h,229.7236328125,24h,1.9521703204577239,7
f14,month_cos,229.4709930419922,24h,1.9500234109050825,8
f49,sp_conductance_change_3h,222.4420623779297,24h,1.8902922040677888,9
f52,sp_conductance_change_24h,203.13706970214844,24h,1.7262401504026197,10
f149,missingindicator_do_concentration_lag_12h,199.00851440429688,24h,1.6911560668881793,11
f191,missingindicator_water_temperature_rolling_mean_24h,198.57626342773438,24h,1.6874828378124276,12
f219,missingindicator_do_concentration_rolling_max_24h,191.06710815429688,24h,1.623670726376431,13
f5,turbidity,186.93508911132812,24h,1.5885572082742967,14
f120,turbidity_rolling_mean_24h,153.3057403564453,24h,1.3027780930311221,15
f38,do_saturation_lag_12h,150.82891845703125,24h,1.281730288145317,16
f79,sp_conductance_rolling_max_6h,150.59584045410156,24h,1.2797496126958638,17
f50,sp_conductance_change_6h,145.4339141845703,24h,1.2358840376289975,18
f105,do_saturation_rolling_mean_6h,138.2276153564453,24h,1.1746455724333111,19
f147,missingindicator_do_concentration_lag_3h,131.50425720214844,24h,1.117511092702449,20
f66,turbidity_change_6h,126.48583221435547,24h,1.0748649783402886,21
f76,water_temperature_rolling_max_24h,125.87171936035156,24h,1.0696463037428148,22
f56,ph_change_24h,123.9116439819336,24h,1.0529897633043714,23
f112,do_saturation_rolling_max_24h,112.14266967773438,24h,0.9529781012145615,24
f40,turbidity_lag_1h,111.20796966552734,24h,0.9450351064080527,25
f197,missingindicator_sp_conductance_rolling_mean_12h,110.07806396484375,24h,0.9354332715999167,26
f93,ph_rolling_mean_24h,109.84552001953125,24h,0.9334571345230155,27
f10,day_of_year,103.99436950683594,24h,0.8837345951761921,28
f35,do_saturation_lag_1h,102.91883087158203,24h,0.8745947666938434,29
f126,missingindicator_sp_conductance,102.36163330078125,24h,0.869859752942619,30
f20,sp_conductance_lag_1h,96.54141998291016,24h,0.8204001150343398,31
f39,do_saturation_lag_24h,95.24736022949219,24h,0.8094033141715253,32
f88,ph_rolling_max_6h,93.48129272460938,24h,0.7943954348134139,33
f60,do_concentration_change_24h,92.09233856201172,24h,0.7825922299820135,34
f154,missingindicator_do_saturation_lag_12h,91.9610595703125,24h,0.7814766331748534,35
f127,missingindicator_ph,88.68220520019531,24h,0.7536132300583345,36
f81,sp_conductance_rolling_mean_12h,84.14530181884766,24h,0.7150590420567887,37
f125,missingindicator_water_temperature,83.90143585205078,24h,0.7129866914817865,38
f139,missingindicator_sp_conductance_lag_12h,81.47701263427734,24h,0.6923841657772201,39
f102,do_concentration_rolling_mean_24h,78.26744842529297,24h,0.6651095840823682,40
f94,ph_rolling_max_24h,77.72806549072266,24h,0.6605259574726977,41
f95,ph_rolling_std_24h,77.40129089355469,24h,0.6577490569759539,42
f77,water_temperature_rolling_std_24h,76.92567443847656,24h,0.6537073120489847,43
f41,turbidity_lag_3h,76.32808685302734,24h,0.6486290676650466,44
f114,turbidity_rolling_mean_6h,75.8634262084961,24h,0.6446804242092858,45
f121,turbidity_rolling_max_24h,74.5737075805664,24h,0.6337205138319291,46
f4,do_saturation,72.29936218261719,24h,0.614393335648351,47
f24,sp_conductance_lag_24h,71.6673583984375,24h,0.6090226255703871,48
f103,do_concentration_rolling_max_24h,70.48822021484375,24h,0.5990024176468561,49
f122,turbidity_rolling_std_24h,68.1312026977539,24h,0.5789726993922378,50
f115,turbidity_rolling_max_6h,66.49119567871094,24h,0.5650360704580648,51
f67,turbidity_change_12h,64.50396728515625,24h,0.5481487861923022,52
f111,do_saturation_rolling_mean_24h,64.25788116455078,24h,0.5460575689542626,53
f23,sp_conductance_lag_12h,64.23884582519531,24h,0.545895808389733,54
f84,sp_conductance_rolling_mean_24h,63.51736068725586,24h,0.5397646939906918,55
f48,water_temperature_change_24h,63.10361862182617,24h,0.5362487519408116,56
f200,missingindicator_sp_conductance_rolling_mean_24h,62.8315544128418,24h,0.533936775295067,57
f46,water_temperature_change_6h,62.76515579223633,24h,0.5333725259190738,58
f51,sp_conductance_change_12h,61.85743713378906,24h,0.5256588161772782,59
f80,sp_conductance_rolling_std_6h,61.36239242553711,24h,0.521451971740259,60
f118,turbidity_rolling_max_12h,61.07552719116211,24h,0.5190142173409321,61
f44,turbidity_lag_24h,60.749000549316406,24h,0.5162394239457303,62
f45,water_temperature_change_3h,59.958221435546875,24h,0.5095194557080751,63
f104,do_concentration_rolling_std_24h,59.930755615234375,24h,0.5092860536911183,64
f135,missingindicator_water_temperature_lag_24h,59.76011657714844,24h,0.5078359788268805,65
f1,sp_conductance,58.7135009765625,24h,0.4989419356351661,66
f63,do_saturation_change_12h,58.09169387817383,24h,0.4936578760559975,67
f140,missingindicator_sp_conductance_lag_24h,56.93603515625,24h,0.4838371944400177,68
f175,missingindicator_do_concentration_change_12h,56.49412155151367,24h,0.48008185323802277,69
f73,water_temperature_rolling_max_12h,56.29706573486328,24h,0.47840729101719787,70
f57,do_concentration_change_3h,56.07087326049805,24h,0.47648512815671806,71
f70,water_temperature_rolling_max_6h,55.31861877441406,24h,0.47009253866479167,72
f85,sp_conductance_rolling_max_24h,54.01853942871094,24h,0.45904458385992736,73
f65,turbidity_change_3h,53.992431640625,24h,0.4588227222760312,74
f91,ph_rolling_max_12h,53.874786376953125,24h,0.45782298363673285,75
f75,water_temperature_rolling_mean_24h,53.76627731323242,24h,0.4569008835850193,76
f82,sp_conductance_rolling_max_12h,53.61372756958008,24h,0.455604529882505,77
f86,sp_conductance_rolling_std_24h,52.26259994506836,24h,0.444122771495569,78
f201,missingindicator_sp_conductance_rolling_max_24h,50.790164947509766,24h,0.43161015420040694,79
f90,ph_rolling_mean_12h,50.26350784301758,24h,0.42713467052525983,80
f109,do_saturation_rolling_max_12h,49.62144088745117,24h,0.4216784445416387,81
f71,water_temperature_rolling_std_6h,49.206172943115234,24h,0.41814953571303864,82
f69,water_temperature_rolling_mean_6h,48.37735366821289,24h,0.4111063056818983,83
f108,do_saturation_rolling_mean_12h,47.6342887878418,24h,0.4047918086148122,84
f21,sp_conductance_lag_3h,47.54751205444336,24h,0.4040543879090158,85
f74,water_temperature_rolling_std_12h,47.37565994262695,24h,0.40259400445569565,86
f22,sp_conductance_lag_6h,46.47956085205078,24h,0.39497903673385154,87
f59,do_concentration_change_12h,46.363460540771484,24h,0.3939924269580069,88
f117,turbidity_rolling_mean_12h,45.75010681152344,24h,0.3887802033329461,89
f61,do_saturation_change_3h,45.4602165222168,24h,0.3863167422948072,90
f43,turbidity_lag_12h,43.88272476196289,24h,0.3729113622847854,91
f119,turbidity_rolling_std_12h,43.05997848510742,24h,0.36591974003294997,92
f29,ph_lag_24h,42.056800842285156,24h,0.3573948286144422,93
f78,sp_conductance_rolling_mean_6h,41.67176055908203,24h,0.35412279167228183,94
f36,do_saturation_lag_3h,40.903804779052734,24h,0.3475967740273285,95
f8,day_of_week,39.97215270996094,24h,0.3396796803613125,96
f152,missingindicator_do_saturation_lag_3h,38.364295959472656,24h,0.32601626145476614,97
f64,do_saturation_change_24h,38.3264274597168,24h,0.32569445842388695,98
f100,do_concentration_rolling_max_12h,38.29983139038086,24h,0.3254684474708004,99
f113,do_saturation_rolling_std_24h,37.51624298095703,24h,0.31880958517786245,100
f106,do_saturation_rolling_max_6h,37.18929672241211,24h,0.3160312259185126,101
f176,missingindicator_do_concentration_change_24h,35.85694885253906,24h,0.3047090561606709,102
f83,sp_conductance_rolling_std_12h,34.302940368652344,24h,0.2915032348751471,103
f47,water_temperature_change_12h,34.25291061401367,24h,0.2910780866178709,104
f101,do_concentration_rolling_std_12h,33.275909423828125,24h,0.2827756202883017,105
f12,hour_cos,32.86125183105469,24h,0.27925189817118956,106
f25,ph_lag_1h,32.6287727355957,24h,0.277276312182384,107
f28,ph_lag_12h,31.853721618652344,24h,0.2706899990163835,108
f116,turbidity_rolling_std_6h,31.645198822021484,24h,0.2689179914534792,109
f2,ph,31.091266632080078,24h,0.2642107266087152,110
f19,water_temperature_lag_24h,31.060150146484375,24h,0.26394630157367116,111
f15,water_temperature_lag_1h,30.673358917236328,24h,0.26065938525292986,112
f99,do_concentration_rolling_mean_12h,30.37040901184082,24h,0.2580849447974226,113
f34,do_concentration_lag_24h,30.035564422607422,24h,0.25523946624972427,114
f72,water_temperature_rolling_mean_12h,29.756263732910156,24h,0.2528659946559009,115
f89,ph_rolling_std_6h,29.637895584106445,24h,0.25186011300518396,116
f6,high_turbidity,28.224056243896484,24h,0.23984543622133664,117
f97,do_concentration_rolling_max_6h,28.08730697631836,24h,0.23868335351246603,118
f110,do_saturation_rolling_std_12h,28.043487548828125,24h,0.23831098004457948,119
f27,ph_lag_6h,27.638580322265625,24h,0.23487011564348703,120
f17,water_temperature_lag_6h,27.544269561767578,24h,0.2340686714677615,121
f32,do_concentration_lag_6h,27.53318977355957,24h,0.2339745164457822,122
f37,do_saturation_lag_6h,27.480445861816406,24h,0.2335263035308581,123
f96,do_concentration_rolling_mean_6h,26.51749038696289,24h,0.2253431963994049,124
f0,water_temperature,26.406780242919922,24h,0.2244023917693881,125
f87,ph_rolling_mean_6h,24.534658432006836,24h,0.20849327266482884,126
f62,do_saturation_change_6h,24.030866622924805,24h,0.2042120961687982,127
f194,missingindicator_sp_conductance_rolling_mean_6h,23.319557189941406,24h,0.19816745397534496,128
f42,turbidity_lag_6h,22.081790924072266,24h,0.18764902999645144,129
f98,do_concentration_rolling_std_6h,21.48118019104004,24h,0.18254509518217463,130
f33,do_concentration_lag_12h,20.72415542602539,24h,0.17611196829827544,131
f18,water_temperature_lag_12h,20.634695053100586,24h,0.17535174227040556,132
f58,do_concentration_change_6h,20.586002349853516,24h,0.17493795615298258,133
f174,missingindicator_do_concentration_change_6h,19.88154411315918,24h,0.16895153479598132,134
f3,do_concentration,19.127487182617188,24h,0.1625436282966922,135
f9,month,19.030378341674805,24h,0.1617184062904892,136
f55,ph_change_12h,18.439517974853516,24h,0.15669732919223203,137
f31,do_concentration_lag_3h,18.335094451904297,24h,0.15580994769054088,138
f168,missingindicator_sp_conductance_change_24h,17.925140380859375,24h,0.15232619566883263,139
f107,do_saturation_rolling_std_6h,17.393571853637695,24h,0.147808975174681,140
f16,water_temperature_lag_3h,16.86134910583496,24h,0.14328619517415325,141
f54,ph_change_6h,15.109542846679688,24h,0.12839950657165214,142
f173,missingindicator_do_concentration_change_3h,14.316036224365234,24h,0.12165636021703537,143
f92,ph_rolling_std_12h,13.608770370483398,24h,0.11564607998718963,144
f26,ph_lag_3h,12.081212997436523,24h,0.102665037810774,145
f30,do_concentration_lag_1h,12.030521392822266,24h,0.10223426521322805,146
f7,hour,11.656669616699219,24h,0.09905730717603083,147
f124,turbidity_ratio_1h,11.391417503356934,24h,0.09680321909303356,148
f123,turbidity_change_1h,9.253689765930176,24h,0.0786370052336614,149
f164,missingindicator_water_temperature_change_24h,7.809350967407227,24h,0.06636314685591488,150
f11,hour_sin,6.236135482788086,24h,0.05299410624325533,151
f53,ph_change_3h,5.576303958892822,24h,0.04738691859050707,152
