horizon,model,features_used,accuracy,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive
12h,with_missing_indicators,241,0.9496529690426352,0.4017857142857143,0.2179176755447942,0.282574568288854,0.8350674299486451,0.2823381710464446,8530,134,323,90
12h,without_missing_indicators,125,0.9474495978847637,0.32222222222222224,0.14043583535108958,0.19561551433389546,0.8250267171049837,0.26212598709990187,8542,122,355,58
24h,with_missing_indicators,241,0.9265777379217577,0.3408239700374532,0.15964912280701754,0.2174432497013142,0.758124775475991,0.24271418344162043,8175,176,479,91
24h,without_missing_indicators,125,0.9330792512050219,0.46175637393767704,0.28596491228070176,0.3531960996749729,0.7682597104664426,0.314358300799932,8161,190,407,163
