horizon,f1_with_indicators,f1_without_indicators,f1_difference,roc_auc_with_indicators,roc_auc_without_indicators,roc_auc_difference,pr_auc_with_indicators,pr_auc_without_indicators,pr_auc_difference
12h,0.282574568288854,0.19561551433389546,0.08695905395495857,0.8350674299486451,0.8250267171049837,0.010040712843661481,0.2823381710464446,0.26212598709990187,0.020212183946542728
24h,0.2174432497013142,0.3531960996749729,-0.1357528499736587,0.758124775475991,0.7682597104664426,-0.010134934990451594,0.24271418344162043,0.314358300799932,-0.07164411735831155
